raw,filtered,n_blinks
-1673238,-17793.71600820688,3
-1658320,4918.444412668606,3
-1714516,20618.920328248518,3
-1735266,-4278.543437042743,3
-1676780,-24100.392328822145,3
-1654832,-1297.7716275445712,3
-1709574,21330.96792581618,3
-1727652,3870.524621504145,3
-1680460,-16941.481980099088,3
-1652400,-2127.7397376375175,3
-1714720,15458.29090392493,3
-1735542,-1740.4144223757664,3
-1678176,-19238.93247420865,3
-1653854,-1244.5531639466776,3
-1707048,16572.425288844533,3
-1731552,105.43464310178177,3
-1676378,-15222.209339874857,3
-1654418,3156.0985757325952,3
-1706006,18253.106716613886,3
-1732698,-2443.2172813392253,3
-1677848,-19939.60849629415,3
-1651762,1173.589380052051,3
-1709772,20246.963426941198,3
-1735041,-1560.3639007267961,3
-1674189,-22233.689514352118,3
-1650155,-660.7536393455315,3
-1715565,20294.59679036925,3
-1731059,-187.36859332539177,3
-1672935,-19775.213046358534,3
-1658649,-1357.0259102156579,3
-1712301,15681.199175203288,3
-1734793,-2413.0023180996664,3
-1676623,-18662.002399712786,3
-1658473,-460.76920166385605,3
-1710601,15559.267791341023,3
-1729141,-1557.6989481870614,3
-1676281,-15121.052215160405,3
-1654649,4557.240534070834,3
-1710853,19201.060969514183,3
-1736119,-2952.9390809557226,3
-1677913,-21011.883377616712,3
-1653469,768.4537098695477,3
-1703401,21836.408140621472,3
-1728817,3933.937775517558,3
-1672139,-14939.029408729806,3
-1653827,2915.8113346739447,3
-1705287,20428.566882752086,3
-1738879,-390.1923924628494,3
-1676445,-22031.2501621218,3
-1656739,-4286.104732967711,3
-1708719,15850.306078931782,3
-1736391,-1031.2287150893617,3
-1679325,-19377.412501422048,3
-1660825,-2626.5334798370995,3
-1711251,14222.123959514993,3
-1737985,-3389.0641057465923,3
-1676769,-18979.50109554988,3
-1651223,2653.278064858202,3
-1712061,21618.12848583991,3
-1732869,1044.1279521777872,3
-1680533,-18254.888141978445,3
-1660147,-245.84150286941656,3
-1706211,17770.78189442952,3
-1729003,1442.5840389646398,3
-1683873,-15849.744943466714,3
-1657163,329.51624466144546,3
-1713499,16968.106229682617,3
-1735967,-1739.6422705608836,3
-1686349,-20929.059007709395,3
-1658157,-3179.228839686233,3
-1711679,17015.975504968224,3
-1733379,1745.1160089552868,3
-1682633,-15765.95499628927,3
-1665793,-510.2902517078559,3
-1702591,16527.857618415608,3
-1718123,5252.288508190524,3
-1671873,-5859.407408850136,3
-1637709,12748.394901808577,3
-1685885,31202.866120650655,3
-1714453,14152.944659750652,3
-1660437,-6587.850445387305,3
-1641697,6326.348834375822,3
-1689263,20493.690995077483,3
-1720385,599.2971280087168,3
-1673889,-21114.01817755676,3
-1645491,-7567.542353972005,3
-1705459,8736.917795797235,3
-1735389,-11224.04127209351,3
-1672605,-30511.59170131038,3
-1657713,-10750.342264427389,3
-1713737,7572.310290326024,3
-1734229,-11253.72507908284,3
-1683369,-28026.73024028864,3
-1655569,-7609.280857706484,3
-1711253,13003.326846219757,3
-1733307,-3033.086650695079,3
-1678847,-19461.456134505024,3
-1652397,505.47455471481567,3
-1717485,18446.44324752845,3
-1736335,-2204.153037314881,3
-1685731,-21278.749658320463,3
-1661797,-2490.182012555344,3
-1707855,17554.269949612713,3
-1742623,1549.4606287671058,3
-1682749,-16796.37736586661,3
-1653207,2541.10881328203,3
-1705567,24377.98890589845,3
-1735015,7398.279656654868,3
-1675881,-12139.819770396296,3
-1650645,6251.248993585332,3
-1713129,24100.75231366654,3
-1735977,2164.7412874387705,3
-1670067,-17088.87413787553,3
-1666509,2218.2898340174484,3
-1705761,18814.520971024805,3
-1735245,417.14127953418637,3
-1681251,-17348.87663044213,3
-1653107,314.3748889709141,3
-1702331,20539.672145672983,3
-1737853,3813.113552034782,3
-1681089,-17189.24611867204,3
-1648853,-624.0052695064545,3
-1708175,19291.964732472366,3
-1740141,67.27724827198358,3
-1681125,-21229.575286990046,3
-1647965,-1553.700995122345,3
-1711161,19923.055518159425,3
-1731143,981.0091128974535,3
-1681805,-19145.87676234004,3
-1652137,-735.7252685900528,3
-1709787,18603.0585699125,3
-1730405,287.82410565753867,3
-1673479,-17828.12049290549,3
-1653521,1573.1948016046929,3
-1705791,20183.42003617807,3
-1733881,873.0255809078697,3
-1674189,-18995.947022687724,3
-1651993,-1003.5368760105882,3
-1707683,17828.65967120867,3
-1735159,-781.822077870801,3
-1679003,-20186.576128817313,3
-1654573,-2759.6435691619386,3
-1705727,15935.49641229814,3
-1733873,-1052.0314603491825,3
-1681149,-18973.652912438945,3
-1654793,-1198.5540500360673,3
-1701839,18003.953951753807,3
-1731455,1336.3326549172357,3
-1676961,-17004.20468665428,3
-1654909,610.0930089911406,3
-1701877,19539.491285366494,3
-1733603,1450.5409744149856,3
-1675737,-18788.831132622126,3
-1646799,-281.6143240352409,3
-1701699,21691.57546828389,3
-1730419,4551.831373067225,3
-1680481,-17830.903766599164,3
-1652891,-4065.0044865756727,3
-1705501,14422.742662031364,3
-1732947,-1248.1092529317898,3
-1680205,-19225.398618246276,3
-1658759,-3115.243700981521,3
-1707637,13908.931908951685,3
-1731637,-2516.037701481496,3
-1676289,-17892.908514835322,3
-1656453,1281.7671905747852,3
-1699923,19842.84195525568,3
-1736863,1800.3639775008164,3
-1684857,-19725.62865166063,3
-1657625,-4782.75331364899,3
-1705603,15438.151446644515,3
