raw,filtered,n_blinks
-1448154,-16889.603249131604,2
-1418116,-4253.421608587828,2
-1448852,14001.393655022464,2
-1485448,896.5568992549462,2
-1447194,-19993.55896301782,2
-1414550,-6845.501693946318,2
-1451302,17544.58477653505,2
-1479198,8990.601747727696,2
-1450588,-14069.751170287946,2
-1416758,-8926.269187777967,2
-1453004,11386.698865324173,2
-1485910,6520.894033751412,2
-1447586,-11510.856487989995,2
-1417526,-5495.137358666633,2
-1455340,10437.478847868348,2
-1482000,3541.8738552684845,2
-1448190,-9659.611403829836,2
-1415748,515.9578164481027,2
-1450194,15083.644693461178,2
-1481828,3671.0572981141486,2
-1444478,-11802.045048451635,2
-1416260,1178.4584733712354,2
-1446392,18915.474734110794,2
-1480260,6151.409649443189,2
-1447710,-14752.301416536078,2
-1415484,-4832.580598940019,2
-1449166,16118.44510914083,2
-1479564,7254.589459582365,2
-1445760,-13813.805538303206,2
-1414230,-6580.114484601425,2
-1452496,12837.263635147458,2
-1489214,4151.5374870092455,2
-1451924,-17043.092743033718,2
-1415846,-10334.377385711941,2
-1452124,9380.520747995497,2
-1483638,4043.308042778457,2
-1445386,-10623.186863341853,2
-1409470,248.24838718323417,2
-1449508,16995.890702367928,2
-1481926,4628.812446065149,2
-1450782,-14797.113704405332,2
-1413858,-4283.783632251002,2
-1447048,15350.643479526163,2
-1469232,7228.926821520555,2
-1436514,-8557.246425817653,2
-1398262,4549.293721916421,2
-1424224,27604.537819194218,2
-1453462,21256.912632323958,2
-1414038,1660.4605432520445,2
-1369456,10854.785482875954,2
-1405928,33085.460266825656,2
-1433096,25653.92852635721,2
-1395748,4144.58358400304,2
-1369334,6697.173006807362,2
-1411776,16485.757067706014,2
-1443110,592.074602094187,2
-1419126,-22321.052196608296,2
-1394694,-20189.66677002542,2
-1432578,-10022.450692426954,2
-1466214,-22578.981013071792,2
-1440174,-39950.811173432914,3
-1412904,-30321.49869501341,3
-1452106,-13401.803436011856,3
-1487778,-24038.81268493061,3
-1452206,-41142.434754041205,3
-1420112,-26571.068874534983,3
-1460688,-2365.0450670647574,3
-1494838,-9432.455865332124,3
-1463520,-28132.194957148815,3
-1430604,-17887.38195845803,3
-1462468,5189.976751027281,3
-1501656,1263.5211855325038,3
-1462028,-14678.734232154919,3
-1427746,-3103.870903559186,3
-1466982,18196.86532525589,3
-1497674,10515.476141833287,3
-1462942,-6606.970646436881,3
-1427512,4485.381175344065,3
-1464836,24279.587543136146,3
-1495214,15237.259726911536,3
-1458486,-2669.5195469522628,3
-1426256,7915.054650124319,3
-1460830,26837.350654710863,3
-1492474,16726.75968550683,3
-1457526,-3018.654005717013,3
-1424184,5523.37316024143,3
-1457534,24184.075797184705,3
-1488030,15287.73258451315,3
-1454002,-3829.3681906301167,3
-1423886,3353.8298234429594,3
-1455448,19986.199363362302,3
-1494016,9378.038447598288,3
-1455634,-11259.974871084587,3
-1424690,-3557.8348203868554,3
-1456918,14932.698164341315,3
-1492592,5818.3542700265225,3
-1458280,-13825.043681948404,3
-1425386,-6061.455888356046,3
-1453932,13116.968536146645,3
-1488948,5943.032176680879,3
-1455622,-12487.677831449144,3
-1421838,-4627.192008134767,3
-1454426,13908.773179409965,3
-1491864,4677.455487321573,3
-1455696,-15691.580572429584,3
-1419392,-7112.565415231193,3
-1456814,13032.356232621854,3
-1490668,4234.477085035192,3
-1456780,-15891.89284463745,3
-1426292,-8510.793122874133,3
-1457294,9721.630068271126,3
-1487980,2493.0994777015803,3
-1449584,-13126.691408954706,3
